regional,team,Conference,seed,national.seed,SOS,RPI,G,W,L,RDG
KNOXVILLE,Tennessee,SEC,1,1,0.5634,0.62429,61,50,11,5.082
LEXINGTON,Kentucky,SEC,1,2,0.5828,0.61936,54,40,14,2.519
COLLEGE STATION,Texas A&M,SEC,1,3,0.5737,0.62116,57,44,13,4.439
CHAPEL HILL,North Carolina,ACC,1,4,0.5712,0.6179,55,42,13,4.273
FAYETTEVILLE,Arkansas,SEC,1,5,0.5776,0.6167,57,43,14,2.667
CLEMSON,Clemson,ACC,1,6,0.569,0.60713,55,41,14,2.600
ATHENS,Georgia,SEC,1,7,0.5778,0.6092,54,39,15,3.204
TALLAHASEE,Florida St.,ACC,1,8,0.5614,0.60439,57,42,15,3.368
NORMAN,Oklahoma,Big 12,1,9,0.5776,0.59215,56,37,19,2.321
RALEIGH,NC State,ACC,1,10,0.589,0.59141,53,33,20,1.151
STILLWATER,Oklahoma St.,Big 12,1,11,0.5582,0.59526,57,40,17,3.561
CHARLOTTESVILLE,Virginia,ACC,1,12,0.5596,0.59484,56,41,15,3.321
TUCSON,Arizona,Pac-12,1,13,0.5556,0.57505,57,36,21,1.649
SANTA BARBARA,UC Santa Barbara,Big West,1,14,0.5158,0.59282,54,42,12,3.315
CORVALLIS,Oregon St.,Pac-12,1,15,0.5282,0.58706,56,42,14,4.089
GREENVILLE,East Carolina,AAC,1,16,0.5308,0.58398,58,43,15,3.310
ATHENS,UNCW,CAA,2,,0.5373,0.56797,58,39,19,2.121
CHAPEL HILL,LSU,SEC,2,,0.5701,0.58331,61,40,21,2.443
CHARLOTTESVILLE,Mississippi St.,SEC,2,,0.5717,0.58139,59,38,21,2.424
CLEMSON,Vanderbilt,SEC,2,,0.5757,0.58451,59,38,21,1.288
COLLEGE STATION,Louisiana,Sun Belt,2,,0.5335,0.56469,58,40,18,2.155
CORVALLIS,UC Irvine,Big West,2,,0.5133,0.57835,55,43,12,3.636
FAYETTEVILLE,Louisiana Tech,CUSA,2,,0.5269,0.57633,62,45,17,1.919
GREENVILLE,Wake Forest,ACC,2,,0.5822,0.59676,58,38,20,2.517
KNOXVILLE,Southern Miss.,Sun Belt,2,,0.5452,0.58006,59,41,18,1.559
LEXINGTON,Indiana St.,MVC,2,,0.5302,0.59646,55,42,13,2.836
NORMAN,Duke,ACC,2,,0.5657,0.58868,57,39,18,3.667
RALEIGH,South Carolina,SEC,2,,0.5846,0.58408,59,36,23,2.068
SANTA BARBARA,San Diego,WCC,2,,0.5211,0.585,53,40,13,2.962
STILLWATER,Nebraska,Big Ten,2,,0.5501,0.57738,59,39,20,1.814
TALLAHASEE,Alabama,SEC,2,,0.5818,0.58156,55,33,22,1.636
TUCSON,DBU,CUSA,2,,0.5278,0.58717,57,44,13,3.421
ATHENS,Georgia Tech,ACC,3,,0.5621,0.55846,54,31,23,1.481
CHAPEL HILL,Wofford,SoCon,3,,0.5098,0.55902,59,41,18,4.288
CHARLOTTESVILLE,St. John's (NY),Big East,3,,0.5073,0.55413,54,37,16,2.426
CLEMSON,Coastal Carolina,Sun Belt,3,,0.5643,0.56615,57,34,23,2.544
COLLEGE STATION,Texas,Big 12,3,,0.5573,0.5588,57,35,22,1.807
CORVALLIS,Nicholls,Southland,3,,0.5193,0.54602,58,34,20,2.707
FAYETTEVILLE,Kansas St.,Big 12,3,,0.5565,0.55918,56,32,24,-0.036
GREENVILLE,VCU,Atlantic 10,3,,0.5059,0.53853,58,37,21,1.741
KNOXVILLE,Indiana,Big Ten,3,,0.549,0.54857,57,32,24,1.474
LEXINGTON,Illinois,Big Ten,3,,0.5306,0.55864,53,34,19,1.830
NORMAN,UConn,Big East,3,,0.545,0.56201,55,32,23,1.127
RALEIGH,James Madison,Sun Belt,3,,0.5478,0.55958,57,34,23,1.035
SANTA BARBARA,Oregon,Pac-12,3,,0.5227,0.55405,55,37,18,1.945
STILLWATER,Florida,SEC,3,,0.6076,0.57523,55,28,27,0.509
TALLAHASEE,UCF,Big 12,3,,0.5478,0.56828,54,35,19,1.648
TUCSON,West Virginia,Big 12,3,,0.5467,0.56526,55,33,22,1.527
ATHENS,Army West Point,Patriot,4,,0.4814,0.50866,52,31,21,2.000
CHAPEL HILL,LIU,NEC,4,,0.432,0.47706,56,33,23,0.429
CHARLOTTESVILLE,Penn,Ivy League,4,,0.4624,0.48315,47,24,23,0.021
CLEMSON,High Point,Big South,4,,0.4946,0.50654,59,34,25,0.695
COLLEGE STATION,Grambling,SWAC,4,,0.4437,0.45767,52,25,26,0.212
CORVALLIS,Tulane,AAC,4,,0.5184,0.53183,59,35,24,1.576
FAYETTEVILLE,Southeast Mo. St.,OVC,4,,0.4811,0.50439,59,34,25,1.661
GREENVILLE,Evansville,MVC,4,,0.51,0.53851,58,35,23,1.879
KNOXVILLE,Northern Ky.,Horizon,4,,0.4486,0.49594,57,33,22,1.877
LEXINGTON,Western Mich.,MAC,4,,0.4701,0.50559,53,31,21,1.528
NORMAN,Oral Roberts,Summit League,4,,0.4393,0.44143,58,27,30,0.534
RALEIGH,Bryant,America East,4,,0.453,0.51156,55,36,19,1.364
SANTA BARBARA,Fresno St.,Mountain West,4,,0.4586,0.48258,60,33,27,1.000
STILLWATER,Niagara,MAAC,4,,0.4366,0.5201,53,38,15,2.094
TALLAHASEE,Stetson,ASUN,4,,0.48,0.52075,60,40,20,1.867
TUCSON,Grand Canyon,WAC,4,,0.4999,0.52376,57,34,23,2.175
